solana-signature	2.3.0	registry+https://github.com/rust-lang/crates.io-index
solana-signer	2.2.1	registry+https://github.com/rust-lang/crates.io-index
solana-slot-hashes	2.2.1	registry+https://github.com/rust-lang/crates.io-index
solana-slot-history	2.2.1	registry+https://github.com/rust-lang/crates.io-index
solana-stable-layout	2.2.1	registry+https://github.com/rust-lang/crates.io-index
solana-stake-interface	1.2.1	registry+https://github.com/rust-lang/crates.io-index
solana-system-interface	1.0.0	registry+https://github.com/rust-lang/crates.io-index
solana-system-transaction	2.2.1	registry+https://github.com/rust-lang/crates.io-index
solana-sysvar	2.3.0	registry+https://github.com/rust-lang/crates.io-index
solana-sysvar-id	2.2.1	registry+https://github.com/rust-lang/crates.io-index
solana-time-utils	2.2.1	registry+https://github.com/rust-lang/crates.io-index
solana-transaction	2.2.3	registry+https://github.com/rust-lang/crates.io-index
solana-transaction-context	2.3.13	registry+https://github.com/rust-lang/crates.io-index
solana-transaction-error	2.2.1	registry+https://github.com/rust-lang/crates.io-index
solana-validator-exit	2.2.1	registry+https://github.com/rust-lang/crates.io-index
solana-vote-interface	2.2.6	registry+https://github.com/rust-lang/crates.io-index
spin	0.12.1	registry+https://github.com/rust-lang/crates.io-index
stable_deref_trait	1.2.1	registry+https://github.com/rust-lang/crates.io-index
strength_reduce	0.2.4	registry+https://github.com/rust-lang/crates.io-index
strsim	0.11.1	registry+https://github.com/rust-lang/crates.io-index
subtle	2.6.1	registry+https://github.com/rust-lang/crates.io-index
syn	1.0.109	registry+https://github.com/rust-lang/crates.io-index
syn	2.0.118	registry+https://github.com/rust-lang/crates.io-index
sync_wrapper	1.0.2	registry+https://github.com/rust-lang/crates.io-index
synstructure	0.13.2	registry+https://github.com/rust-lang/crates.io-index
tempfile	3.27.0	registry+https://github.com/rust-lang/crates.io-index
termcolor	1.4.1	registry+https://github.com/rust-lang/crates.io-index
thiserror	2.0.18	registry+https://github.com/rust-lang/crates.io-index
thiserror-impl	2.0.18	registry+https://github.com/rust-lang/crates.io-index
tinystr	0.8.3	registry+https://github.com/rust-lang/crates.io-index
tinyvec	1.11.0	registry+https://github.com/rust-lang/crates.io-index
tinyvec_macros	0.1.1	registry+https://github.com/rust-lang/crates.io-index
tokio	1.52.3	registry+https://github.com/rust-lang/crates.io-index
tokio-rustls	0.26.4	registry+https://github.com/rust-lang/crates.io-index
toml	0.5.11	registry+https://github.com/rust-lang/crates.io-index
toml_datetime	0.6.11	registry+https://github.com/rust-lang/crates.io-index
toml_edit	0.22.27	registry+https://github.com/rust-lang/crates.io-index
toml_write	0.1.2	registry+https://github.com/rust-lang/crates.io-index
tower	0.5.3	registry+https://github.com/rust-lang/crates.io-index
tower-http	0.6.11	registry+https://github.com/rust-lang/crates.io-index
tower-layer	0.3.3	registry+https://github.com/rust-lang/crates.io-index
tower-service	0.3.3	registry+https://github.com/rust-lang/crates.io-index
tracing	0.1.44	registry+https://github.com/rust-lang/crates.io-index
tracing-attributes	0.1.31	registry+https://github.com/rust-lang/crates.io-index
tracing-core	0.1.36	registry+https://github.com/rust-lang/crates.io-index
transpose	0.2.3	registry+https://github.com/rust-lang/crates.io-index
try-lock	0.2.5	registry+https://github.com/rust-lang/crates.io-index
typenum	1.20.1	registry+https://github.com/rust-lang/crates.io-index
unarray	0.1.4	registry+https://github.com/rust-lang/crates.io-index
unicode-ident	1.0.24	registry+https://github.com/rust-lang/crates.io-index
untrusted	0.9.0	registry+https://github.com/rust-lang/crates.io-index
uriparse	0.6.4	registry+https://github.com/rust-lang/crates.io-index
url	2.5.8	registry+https://github.com/rust-lang/crates.io-index
utf8_iter	1.0.4	registry+https://github.com/rust-lang/crates.io-index
vcpkg	0.2.15	registry+https://github.com/rust-lang/crates.io-index
version_check	0.9.5	registry+https://github.com/rust-lang/crates.io-index
wait-timeout	0.2.1	registry+https://github.com/rust-lang/crates.io-index
want	0.3.1	registry+https://github.com/rust-lang/crates.io-index
wasi	0.11.1+wasi-snapshot-preview1	registry+https://github.com/rust-lang/crates.io-index
wasi	0.9.0+wasi-snapshot-preview1	registry+https://github.com/rust-lang/crates.io-index
wasip2	1.0.4+wasi-0.2.12	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen	0.2.126	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-futures	0.4.76	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-macro	0.2.126	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-macro-support	0.2.126	registry+https://github.com/rust-lang/crates.io-index
wasm-bindgen-shared	0.2.126	registry+https://github.com/rust-lang/crates.io-index
web-sys	0.3.103	registry+https://github.com/rust-lang/crates.io-index
web-time	1.1.0	registry+https://github.com/rust-lang/crates.io-index
webpki-roots	1.0.8	registry+https://github.com/rust-lang/crates.io-index
winapi	0.3.9	registry+https://github.com/rust-lang/crates.io-index
winapi-i686-pc-windows-gnu	0.4.0	registry+https://github.com/rust-lang/crates.io-index
winapi-util	0.1.11	registry+https://github.com/rust-lang/crates.io-index
winapi-x86_64-pc-windows-gnu	0.4.0	registry+https://github.com/rust-lang/crates.io-index
windows-core	0.62.2	registry+https://github.com/rust-lang/crates.io-index
windows-implement	0.60.2	registry+https://github.com/rust-lang/crates.io-index
windows-interface	0.59.3	registry+https://github.com/rust-lang/crates.io-index
windows-link	0.2.1	registry+https://github.com/rust-lang/crates.io-index
windows-result	0.4.1	registry+https://github.com/rust-lang/crates.io-index
windows-strings	0.5.1	registry+https://github.com/rust-lang/crates.io-index
windows-sys	0.52.0	registry+https://github.com/rust-lang/crates.io-index
windows-sys	0.60.2	registry+https://github.com/rust-lang/crates.io-index
windows-sys	0.61.2	registry+https://github.com/rust-lang/crates.io-index
windows-targets	0.52.6	registry+https://github.com/rust-lang/crates.io-index
windows-targets	0.53.5	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_gnullvm	0.52.6	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_gnullvm	0.53.1	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_msvc	0.52.6	registry+https://github.com/rust-lang/crates.io-index
windows_aarch64_msvc	0.53.1	registry+https://github.com/rust-lang/crates.io-index
