bytes	1.12.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/bytes-1.12.0.crate	75441	8ae3f5d315924270530207e2a68396c3cc547f6dca3fbdca317cfb1a51edb593	registry/src/index.crates.io-1949cf8c6b5b557f/bytes-1.12.0	41	400662:22ff85afe313e6a08aa25568649f87fc62cbcfc4b558297eaadc6e8a1ffda6c8
cc	1.2.65	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/cc-1.2.65.crate	95435	e228eec9be7c17ccb640b59b36a5cd805ea2a564a4c5e162c2f659fea30d3b96	registry/src/index.crates.io-1949cf8c6b5b557f/cc-1.2.65	28	392919:555078df432874774a81130bfee45ded9ffb17aa1529c0a6d2b83f2334339175
cfg-if	1.0.4	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/cfg-if-1.0.4.crate	9360	9330f8b2ff13f34540b44e946ef35111825727b38d33286ef986142615121801	registry/src/index.crates.io-1949cf8c6b5b557f/cfg-if-1.0.4	15	25728:6bd0c485ca12f466119f7de1440247633935b18ec1e3ab5751f64effe7c80b17
cfg_aliases	0.2.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/cfg_aliases-0.2.1.crate	6355	613afe47fcd5fac7ccf1db93babcb082c5994d996f20b8b159f2ad1658eb5724	registry/src/index.crates.io-1949cf8c6b5b557f/cfg_aliases-0.2.1	10	22447:463a41593f2adec9b0250b8d42ca4049cbd38a779459dcc49e0956fb7a22035e
cfg_eval	0.1.2	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/cfg_eval-0.1.2.crate	12944	45565fc9416b9896014f5732ac776f810ee53a66730c17e4020c3ec064a8f88f	registry/src/index.crates.io-1949cf8c6b5b557f/cfg_eval-0.1.2	18	40095:82235e4718b95369dba2ea808c06fba73ee27cb4884a2ae23ae67623b57395e8
chrono	0.4.45	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/chrono-0.4.45.crate	240866	1aa79e62e7697b8e29b513a68abacf485adcd1fe8284a4316c5ae868e6633327	registry/src/index.crates.io-1949cf8c6b5b557f/chrono-0.4.45	52	1366174:7568d79a16724abe649e27b2f3e14fcc2a31ebeec397c1064fc66fc7c4d8cb76
console_error_panic_hook	0.1.7	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/console_error_panic_hook-0.1.7.crate	507196	a06aeb73f470f66dcdbf7223caeebb85984942f22f1adb2a088cf9668146bbbc	registry/src/index.crates.io-1949cf8c6b5b557f/console_error_panic_hook-0.1.7	18	541973:7b0c34a66d5f0ca639f091323b2f1f6728e3ef2db901b1c7173b8557ac234f3b
console_log	0.2.2	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/console_log-0.2.2.crate	28932	e89f72f65e8501878b8a004d5a1afb780987e2ce2b4532c562e367a72c57499f	registry/src/index.crates.io-1949cf8c6b5b557f/console_log-0.2.2	12	44092:385b5bbf6fba2e3dac999fddc5a4d08f11b23d6e6205c69c813bf2d67fef4ac8
constant_time_eq	0.3.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/constant_time_eq-0.3.1.crate	11561	7c74b8349d32d297c9134b8c88677813a227df8f779daa29bfc29c183fe3dca6	registry/src/index.crates.io-1949cf8c6b5b557f/constant_time_eq-0.3.1	14	37799:9ebed640956be742e5147250385f00f10dd12f26653ca1edc1c49faad748ae49
core-foundation-sys	0.8.7	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/core-foundation-sys-0.8.7.crate	37712	773648b94d0e5d620f64f280777445740e61fe701025087ec8b57f45c791888b	registry/src/index.crates.io-1949cf8c6b5b557f/core-foundation-sys-0.8.7	46	234059:e357677be461efc23c228e0847533eec575551f777084d908e6632596eab00cc
cpufeatures	0.2.17	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/cpufeatures-0.2.17.crate	13466	59ed5838eebb26a2bb2e58f6d5b5316989ae9d08bab10e0e6d103e656d1b0280	registry/src/index.crates.io-1949cf8c6b5b557f/cpufeatures-0.2.17	17	44350:cdeed89c4e79d842082a4dc8a0f9c7a67a549eaf019befaae482f65d28e93a37
crunchy	0.2.4	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/crunchy-0.2.4.crate	3887	460fbee9c2c2f33933d720630a6a0bac33ba7053db5344fac858d4b8952d77d5	registry/src/index.crates.io-1949cf8c6b5b557f/crunchy-0.2.4	10	11952:b8be9ce5febea16246cc5f8d7a6af2d9c3b3506e5397bbef0a20dc21d1228266
