Feature                                      | Status                  | Activation Slot | Description
9k5ijzTbYPtjzu8wj2ErH9v45xecHzQ1x4PMYMMxFgdM | active since epoch 0    | 0               | enforce max number of accounts per bpf program instruction #26628
9kdtFSrXHQg3hKkbXkQ6trJ3Ja1xpJ22CTFSNAciEwmL | active since epoch 0    | 0               | fail instructions which have native_loader as program_id directly
9onWzzvCzNC2jfhxxeqRgs5q7nFAAKpCUvkj6T6GJK9i | active since epoch 0    | 0               | Raise minimum stake delegation to 1.0 SOL #24357
9ypxGLzkMxi89eDerRKXWDXe44UY2z4hBig4mDhNq5Dp | active since epoch 0    | 0               | SIMD-0159: Move precompile verification into SVM
A16q37opZdQMCbe5qJ6xpBB9usykfv8jZaMkxvZQi4GJ | active since epoch 0    | 0               | add alt_bn128 syscalls #27961
A8xyMHZovGXFkorFqEmVH2PKGLiBip5JD7jt4zsUWo4H | active since epoch 0    | 0               | Remove congestion multiplier from transaction fee calculation #29881
ALBk3EWdeAg2WAGf6GPDUf1nynyNqCdEVmgouG7rpuCj | active since epoch 0    | 0               | fail vote account withdraw to 0 unless account earned 0 credits in last completed epoch
AVZS3ZsN4gi6Rkx2QUibYuSJG3S6QHib7xCYhG6vGJxU | active since epoch 0    | 0               | vote account withdraw authority may change the authorized voter #22521
AnAP9zPV4KL7czAPQbFhpDKV2tx7g4UGNbK9wvXwjaRo | active since epoch 0    | 0               | SIMD-0387: BLS Pubkey Management in Vote Account
B1ockRevenueSharing111111111111111111111111  | active since epoch 0    | 0               | SIMD-0123: Block Revenue Sharing
B7H2caeia4ZFcpE3QcgMqbiWiBtWrdBRBSJ1DY6Ktxbq | active since epoch 0    | 0               | SIMD-0182: Deplete compute meter for vm errors #3993
B8JJXCy5amZyWG9r7EnUYLwzXSXTxG7GZ1qZ1qggo83g | active since epoch 0    | 0               | SIMD-0500: Disable deployment of SBPF v0, v1 and v2 programs
B9cdB55u4jQsDNsdTK525yE9dmSc5Ga7YBaBrDFvEhM9 | active since epoch 0    | 0               | disable setting is_executable and_rent_epoch in CPI #26987
BKCPBQQBZqggVnFso5nQ8rQ4RwwogYwjuUt9biBjxwNF | active since epoch 0    | 0               | collect rent from accounts owned by sysvars
BL99GYhdjjcv6ys22C9wPgn2aTVERDbPHHo4NbS3hgp7 | active since epoch 0    | 0               | spl-token self-transfer fix
BTWmtJC8U5ZLMbBUUA1k6As62sYjPEjAiNAT55xYGdJU | active since epoch 0    | 0               | revise turbine epoch stakes
BUS12ciZ5gCoFafUHWW8qaFMMtwFQGVxjsDheWLdqBE2 | active since epoch 0    | 0               | Auto rewind stake's credits_observed if (accidental) vote recreation is detected #22546
BY4JhHLahVzS9ynfDz4exzGPbVXhFmJvEyMWsXbDBqME | active since epoch 0    | 0               | SIMD-0392: Relaxation of post-execution min_balance check
BcWknVcgvonN8sL4HE4XFuEVgfcee5MwxWPAgP6ZV89X | active since epoch 0    | 0               | vote/state program checked instructions #18345
BiCU7M5w8ZCMykVSyhZ7Q3m2SWoR2qrEQ86ERcDX77ME | active since epoch 0    | 0               | nonce must be writable
Bj2jmUsM2iRhfdLLDSTkhM5UQRQvQHm57HSmPibPtEyu | active since epoch 0    | 0               | Return InsufficientDelegation instead of InsufficientFunds or InsufficientStake where applicable #31206
BkFDxiJQWZXGTZaJQxH7wVEHkAmwCgSEVkrvswFfRJPD | active since epoch 0    | 0               | require all new transaction accounts with data to be rent-exempt
BrTR9hzw4WBGFP65AJMbpAo64DcA3U6jdPSga9fMV5cS | active since epoch 0    | 0               | perform all checks for transfers of 0 lamports
BsKLKAn1WM4HVhPRDsjosmqSg2J8Tq5xP2s2daDS6Ni4 | active since epoch 0    | 0               | Update desired hashes per tick to 9.2M
BtVN7YjDzNE6Dk7kTT7YTDgMNUZTNgiSJgsdzAeTg2jF | active since epoch 0    | 0               | Removing unwanted rounding in fee calculation #34982
BzBBveUDymEYoYzcMWNQCx3cd4jQs7puaVFHLtsbB6fm | active since epoch 0    | 0               | community vote allowing Certus One to enable full inflation
C5fh68nJ7uyKAuYZg2x9sEQ5YrVf3dkW6oojNBSc3Jvo | active since epoch 0    | 0               | send votes to the tpu vote port
C97eKZygrkU4JxJsZdjgbUY7iQR7rKTr4NyDWo2E5pRm | active since epoch 0    | 0               | SIMD-0128: Migrate Address Lookup Table program to Core BPF
C9oAhLxDBm3ssWtJx1yBGzPY55r2rArHmN1pbQn6HogH | active since epoch 0    | 0               | SIMD-0170: Reserve minimal CUs for builtin instructions #2562
CBkDroRDqm8HwHe6ak9cguPjUomrASEkfmxEaZ5CNNxz | active since epoch 0    | 0               | enforce max number of locked accounts per transaction
